Course Code,Course name,Faculty member,Seats open,status,Schedule,Credits,Begin date,End date
ENGR2210-01,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC306-Lab/ClassRm-Bnchs",4,9/3/2015,12/11/2015
ENGR2210-02,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR2210-03,Principles of Engineering,"Hoover, Aaron",30/30,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC306-Lab/ClassRm-Bnchs",4,9/3/2015,12/11/2015
ENGR2340-01,Dynamics,"Lee, Christopher",40/40,Open,"TF 9:00 – 10:40 AM; MAIN Campus, Academic Center , AC328-Classroom
W 9:30 - 10:30 AM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
ENGR2510-01,Software Design,"Millner, Amon",25/25,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
ENGR3220-01,Human Factors and Interface Design,"Stein, Lynn Andrea",24/24,Open,"MR 3:20 - 5:50 PM; MAIN Campus, Academic Center , AC109-Classroom",4,9/3/2015,12/11/2015
ENGR3250-01,Integrated Product Design,"Linder, Benjamin",18/18,Open,"R 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3290-01,Affordable Design and Entrepreneurship,"Linder, Benjamin",15/15,Open,"T 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3299-01,Special Topics in Design Engineering : Investigating Normal: Adaptive &,"Linder, Benjamin",15/15,Open,"T 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
ENGR3299-01,Special Topics in Design Engineering : Investigating Normal: Adaptive &,"Hendren, Sara",20/20,Open,"T 1:30 - 5:00 PM; MAIN Campus, Academic Center , AC109-Classroom
F 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC109-Classroom",4,9/3/2015,12/11/2015
ENGR3310-01,Transport Phenomena,"Storey, Brian",28/28,Open,"MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
ENGR3330-01,Mechanical Design,"Barrett, David",28/28,Open,"MR 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR3370-01,Controls,"Lundberg, Kent",25/25,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3390-01,Fundamentals of Robotics,"Barrett, David",24/24,Open,"MR 3:20 - 5:00 PM; MAIN Campus, Academic Center , AC309-Classroom",4,9/3/2015,12/11/2015
ENGR3410-01,Computer Architecture,"Hill, Benjamin Thomas",35/35,Open,"MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
ENGR3420-01,Introduction to Analog and Digital Communication,"Govindasamy, Siddhartan",24/24,Open,"TF 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3430-01,EE Prototyping,"Lundberg, Kent",24/24,Open,"MR 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC304-Classroom/ECE Lab",4,9/3/2015,12/11/2015
ENGR3525-01,Software Systems,"Downey, Allen",30/30,Open,"TF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC126-Tiered Classrom",4,9/3/2015,12/11/2015
ENGR3590-01,A Computational Introduction to Robotics,"Ruvolo, Paul",15/15,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
ENGR3590-02,A Computational Introduction to Robotics,"Ruvolo, Paul",15/15,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
ENGR3599-01,Special Topics in Computing : Visualizing Data,"Pucella, Riccardo",30/30,Open,"M 6:15 - 8:45 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
ENGR3630-01,Transport in Biological Systems,"Sarang-Sieminski, Alisha",20/20,Open,"MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC318-Classroom",4,9/3/2015,12/11/2015
ENGR3710-01,Systems,"Bennett, Andrew",24/24,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
ENGR4190-01,Senior Capstone Program in Engineering (SCOPE),"Sarang-Sieminski, Alisha",90/90,Open,"W 9:00 - 10:40 AM; MAIN Campus, Olin Campus
W 1:00 - 6:00 PM; MAIN Campus, Olin Campus",4,9/3/2015,12/11/2015
ENGR4290-01,Affordable Design and Entrepreneurship,"Linder, Benjamin",15/15,Open,"T 3:30 - 6:30 PM; MAIN Campus, Academic Center , AC213-Design Studio",4,9/3/2015,12/11/2015
MTH1111-01,Modeling and Simulation of the Physical World,"Geddes, John B.
Somerville, Mark",28/28,Open,"W 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC204-Design Studio
W 9:00 - 10:40 AM; MAIN Campus, Milas Hall , MH120-Auditorium
MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC204-Design Studio
MR 10:50AM - 12:30 PM; MAIN Campus, Milas Hall , MH120-Auditorium",2,9/3/2015,12/11/2015
MTH1111-03,Modeling and Simulation of the Physical World,"Somerville, Mark",28/28,Open,"W 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC209-Design Studio
MR 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC209-Design Studio",2,9/3/2015,12/11/2015
MTH2110-01,Discrete Math,"Adams, Sarah Spence",30/30,Open,"MR 9:00 - 10:40 AM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
MTH2130-01,Probability and Statistics,Staff,32/32,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC113-Classroom-Tiered",2,9/3/2015,10/16/2015
MTH2188B-01,Designated Alternative in Mathematics : Regional Analysis fr Developmen,"Mur-Miranda, Jose Oscar",30/30,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",2,9/3/2015,12/11/2015
MTH2220-01,Linearity II,"Geddes, John B.
Somerville, Mark",28/28,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC326-Classroom",4,9/3/2015,12/11/2015
MTH2220-02,Linearity II,"Geddes, John B.
Somerville, Mark",28/28,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC328-Classroom",4,9/3/2015,12/11/2015
MTH2220A-A1,Linearity II Project Based Approach with Electricity and Magnetism : Project Bsd Approach/Vector Calculus,"Christianson, Rebecca",25/25,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",2,9/3/2015,12/11/2015
MTH3170-01,Nonlinear Dynamics and Chaos,"Hoffman, Aaron",24/24,Open,"MR 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC113-Classroom-Tiered",4,9/3/2015,12/11/2015
OIE1000-01,Olin Introductory Experience,"Tatar, Nick",84/84,Open,"R 3:20 - 5:00 PM; MAIN Campus, Milas Hall , MH120-Auditorium",1,9/3/2015,12/11/2015
OIP1000-01,The Olin Internship Practicum,Staff,50/50,Open,No schedule is currently available,1,9/3/2015,12/11/2015
SCI1111-01,Modeling and Simulation of the Physical World,"Geddes, John B.
Somerville, Mark",28/28,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",2,9/3/2015,12/11/2015
SCI1111-02,Modeling and Simulation of the Physical World,"Somerville, Mark",28/28,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",2,9/3/2015,12/11/2015
SCI1111-03,Modeling and Simulation of the Physical World,"Somerville, Mark",28/28,Open,"0:00 - 0:00 AM; MAIN Campus, Olin Campus",2,9/3/2015,12/11/2015
SCI1121A-A1,Electricity and Magnetism with Laboratory : Project Bsd Approach/Vector Calculas,"Christianson, Rebecca",25/25,Open,"MTRF 10:50AM - 12:30 PM; MAIN Campus, Academic Center , AC428-ModControlDedicate",4,9/3/2015,12/11/2015
SCI1210-01,Principles of Modern Biology (with laboratory),"Pratt, Joanne",24/24,Open,"TF 1:30 - 3:10 PM; MAIN Campus, Academic Center , AC417-Classroom
TF 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC406-Biology Lab",4,9/3/2015,12/11/2015
SCI1210A-A1,Principles of Modern Biology with Lab,"Huang, Jean",24/24,Open,"M 1:00 - 3:10 PM; MAIN Campus, Academic Center , AC406-Biology Lab
W 1:00 - 6:00 PM; MAIN Campus, Academic Center , AC417-Classroom",4,9/3/2015,12/11/2015
SCI1410-01,Materials Science and Solid State Chemistry (with laboratory),"Stolk, Jonathan",21/21,Open,"TR 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC413-Materials Sci Lab",4,9/3/2015,12/11/2015
SCI1410-C1,Materials Science and Solid State Chemistry (with laboratory) : Biomaterials Polymers Mech Prop,"Chachra, Debbie",21/21,Open,"MW 3:20 - 6:00 PM; MAIN Campus, Academic Center , AC413-Materials Sci Lab",4,9/3/2015,12/11/2015
